N°,Pregunta cuestionario,Categoría,Dificultad,Razón de la puntuación
157,¿Qué familiar me inspira o admiro?,Rompehielos/Divertidas,2,Era dificil
158,¿Qué amigo/a de la infancia aún menciono?,Rompehielos/Divertidas,1,Deberias saberlo
159,¿Qué conflicto familiar me afectó mucho?,Nostálgicas,1,Deberias saberlo
160,¿Qué amigo/a he tenido por más tiempo?,Rompehielos/Divertidas,1,Deberias saberlo
161,¿Qué cosa graciosa hago con mis amigos?,Rompehielos/Divertidas,1,Deberias saberlo
162,¿Qué libro me marcó en la vida?,Rompehielos/Divertidas,2,Era dificil
163,¿Qué celebridad me gustaba de adolescente?,Rompehielos/Divertidas,1,Deberias saberlo
164,¿Qué asignatura odiaba en el colegio?,Rompehielos/Divertidas,2,Era dificil
165,¿Qué me da asco?,Rompehielos/Divertidas,1,Deberias saberlo
166,"¿Qué tipo de regalos prefiero (útiles, románticos, etc.)?",Rompehielos/Divertidas,1,Deberias saberlo
167,¿Qué sueño recurrente tengo?,Rompehielos/Divertidas,2,Era dificil
168,"¿Qué cosa random me emociona (ej.: ver ardillas, lluvia)?",Rompehielos/Divertidas,2,Era dificil
169,¿Qué compraría primero si ganara la lotería?,Hipotéticas/Imaginativas,2,Era dificil
170,¿Qué haría si tuviera un día libre sin responsabilidades?,Hipotéticas/Imaginativas,2,Era dificil
171,¿Qué animal sería si pudiera reencarnar?,Hipotéticas/Imaginativas,2,Era dificil
172,¿Qué haría en una isla desierta?,Hipotéticas/Imaginativas,3,Imaginacion y creatividad
173,¿Qué trabajo tendría en otra vida?,Hipotéticas/Imaginativas,3,Imaginacion y creatividad
174,¿Qué eliminaría del mundo si pudiera?,Hipotéticas/Imaginativas,3,Imaginacion y creatividad
175,"¿Qué lado de mi cuerpo tengo más sensible (ej.: cuello, pies)?",Intimas/Picantes,1,Deberias saberlo
176,¿Qué parte de mi cuerpo me gusta más?,Intimas/Picantes,1,Deberias saberlo
177,¿Qué palabra me da cosquillas si me la susurras?,Intimas/Picantes,2,Era dificil
178,¿Qué gesto tuyo me derrite siempre?,Profundas/Románticas,1,Deberias saberlo
179,¿Qué me pone de mal humor rápido?,Rompehielos/Divertidas,2,Era dificil
180,¿Qué hago cuando estoy celoso/a?,Profundas/Románticas,2,Era dificil
181,¿Qué mentira piensas que he dicho?,Profundas/Románticas,2,Era dificil
182,¿Qué cosa hago que creo que no notas?,Profundas/Románticas,3,Imaginacion y creatividad
183,¿Dónde me gustaría vivir en el futuro?,Rompehielos/Divertidas,2,Era dificil
184,¿Qué sueño profesional tengo?,Profundas/Románticas,1,Deberias saberlo
185,¿Cuántos hijos quiero tener?,Rompehielos/Divertidas,1,Deberias saberlo
186,¿Qué habilidad quiero aprender?,Rompehielos/Divertidas,2,Era dificil
187,¿Qué me gustaría hacer cuando me retire?,Rompehielos/Divertidas,1,Deberias saberlo
188,Cual seria mi ultimo deseo si estuviera condenado a morir?,Hipotéticas/Imaginativas,3,Creativa y reflexiva
189,¿Qué sonido me molesta más que cualquier otro?,Rompehielos/Divertidas,1,Preferencias básicas obvias.
190,¿Qué meme me representa mejor?,Rompehielos/Divertidas,1,Observación básica de humor digital.
191,¿Qué frase uso cuando estoy tratando de evitar una conversación incómoda?,Rompehielos/Divertidas,2,Reconocimiento de evasivas personales.
192,"¿Cuál es mi ""placer culposo"" musical que canto a todo pulmón cuando estoy solo/a?",Rompehielos/Divertidas,1,Gustos secretos pero inferibles.
193,¿Qué animal me representa y por que?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
194,¿Qué manía tengo cuando estoy concentrado/a?,Rompehielos/Divertidas,1,Hábitos visibles y repetitivos.
195,¿Cuál sería mi nombre de artista si fuera rapero?,Rompehielos/Divertidas,3,Creatividad + conocimiento de personalidad.
196,¿Qué objeto absurdo usaría como arma en defensa propia si estuviera solo/a en un callejon vacio?,Rompehielos/Divertidas,3,Humor e imaginación extrema.
197,"Si mi vida fuera un reality show, ¿cuál sería/como se llamaria?",Rompehielos/Divertidas,2,Requiere creatividad y conocimiento del humor/drama personal.
198,¿Qué color detesto usar aunque me lo regalen?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
199,¿Qué tipo de pizza siempre ordeno?,Rompehielos/Divertidas,1,Preferencia alimentaria constante.
200,¿Qué objeto siempre pierdo?,Rompehielos/Divertidas,1,Hábitos cotidianos evidentes.
201,¿Cuál es mi marca favorita de ropa?,Rompehielos/Divertidas,1,Hábito visible y fácil de notar.
202,¿Qué personaje de comedia me describe mejor en mis momentos más torpes?,Rompehielos/Divertidas,1,Autopercepción y humor compartido.
203,¿Qué actividad me hace procrastinar más?,Rompehielos/Divertidas,2,Patrones de comportamiento.
204,¿Qué reality show sería mi guilty pleasure?,Rompehielos/Divertidas,2,Preferencias televisivas no confesadas.
205,¿Qué animal representaría mejor nuestra relación?,Hipotéticas/Imaginativas,2,Analogía creativa sobre dinámica de pareja.
206,¿Cuál sería mi nombre de luchador/a profesional y mi movimiento estrella?,Rompehielos/Divertidas,3,Pura imaginación y humor.
207,¿Qué cosa coleccionaba o colecciono?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
208,¿Qué talento oculto tengo que pocos conocen?,Rompehielos/Divertidas,2,Habilidades no evidentes.
209,¿Qué hobbie me gustaría tener pero no practico?,Rompehielos/Divertidas,2,Intereses ocultos o ideales.
210,"¿Qué canción me pone instantáneamente de buen humor, sin importar qué?",Rompehielos/Divertidas,1,Observación de reacciones.
211,¿Qué profesión diferente a lo que hago actualmente me quedaría perfecta?,Rompehielos/Divertidas,3,Creatividad + análisis de personalidad.
212,¿Qué comida pediría en mi última cena?,Rompehielos/Divertidas,1,Gustos alimenticios básicos.
213,"Si fuéramos vecinos, ¿qué excusa inventarías para hablar conmigo?",Hipotéticas/Imaginativas,3,Inventiva romántica.
214,"¿Cuál es mi ""uniforme"" para estar en casa un domingo?",Rompehielos/Divertidas,1,Hábito observable.
215,¿Qué parte de mi cuerpo me gusta presumir?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
216,¿Qué invento inútil pero divertido crearía?,Rompehielos/Divertidas,3,Imaginación extravagante.
217,¿Qué frase diría si fuera sticker de WhatsApp?,Rompehielos/Divertidas,2,Expresiones recurrentes.
218,¿Qué canción cantamos juntos sin vergüenza alguna?,Nostálgicas,1,Momento musical compartido.
219,"Si pudiera tener una conversación con un animal, ¿cuál elegiría y qué le preguntaría?",Rompehielos/Divertidas,2,Creatividad y prioridades curiosas.
220,¿Qué superstición sigo en secreto?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
221,"¿Si fuera un villano,qué superhéroe sería mi némesis?",Rompehielos/Divertidas,3,Creatividad + antipatías.
222,¿Qué lugar visitamos que terminó siendo completamente distinto a lo esperado?,Nostálgicas,2,Experiencia memorable no verbalizada.
223,¿Qué app de mi teléfono borraría si supiera que la vas a revisar (y no es lo que piensas)?,Rompehielos/Divertidas,2,Secretos digitales menores.
224,¿Qué lugar frecuento cuando quiero estar a solas?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
225,¿Qué gesto hago cuando estoy pensando?,Rompehielos/Divertidas,1,Tics observables.
226,¿Qué evento familiar nos hizo reír hasta llorar?,Nostálgicas,3,Recuerdo emocional intenso.
227,¿Cuál es la teoría de conspiración más tonta en la que secretamente creo un poquito?,Rompehielos/Divertidas,3,Pensamientos ocultos y absurdos.
228,¿Qué serie veo una y otra vez sin cansarme?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
229,¿Qué frase digo cuando algo me sale mal?,Rompehielos/Divertidas,1,Expresiones características.
230,¿Qué me relaja instantáneamente?,Rompehielos/Divertidas,1,Observación sensorial básica.
231,¿Qué palabra o expresión extranjera uso aunque no domino?,Rompehielos/Divertidas,1,Deberían haberlo notado.
232,¿Qué objeto cotidiano personifico o le hablo como si tuviera vida?,Rompehielos/Divertidas,2,Hábitos peculiares.
233,¿Qué palabra no pronuncio bien pero insisto en decirla?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
234,¿Qué cosa random colecciono sin darme cuenta?,Rompehielos/Divertidas,2,Hábitos inconscientes.
235,¿Qué instrumento tocaría en una banda?,Rompehielos/Divertidas,1,Habilidades conocidas.
236,¿Qué cosa haría si nadie pudiera juzgarme por ello?,Profundas/Románticas,3,Vulnerabilidad y deseo oculto.
237,"¿Cuál es mi ""arma secreta"" para ganar una discusión trivial?",Rompehielos/Divertidas,1,Patrones de comportamiento.
238,¿Qué programa de televisión me da vergüenza admitir que veo?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
239,¿Qué superstición tonta tengo?,Rompehielos/Divertidas,2,Creencias personales menores.
240,¿Qué moda pasada jamás repetiría?,Rompehielos/Divertidas,2,Memoria visual + autocrítica.
241,¿Qué parte de ti quiero conocer mejor emocionalmente?,Profundas/Románticas,2,Introspección y conexión emocional.
242,"Si me perdiera en un centro comercial, ¿en qué tipo de tienda me encontrarías?",Rompehielos/Divertidas,1,Preferencias conocidas.
243,¿Qué objeto rompo siempre por accidente?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
244,¿Qué emoji uso cuando estoy incómodo?,Rompehielos/Divertidas,1,Patrones de comunicación digital.
245,¿Qué hábito mío cambiarías si pudieras?,Profundas/Románticas,3,Honestidad con tacto.
246,¿Qué animal doméstico no tendría jamás?,Rompehielos/Divertidas,1,Preferencias claras.
247,¿Qué deporte extremo jamás intentaría?,Rompehielos/Divertidas,2,Conocimiento de límites personales.
248,¿Qué película nos vio discutir durante horas después de verla?,Nostálgicas,2,Impacto cultural en la relación.
249,¿Cuál es el peor regalo que he hecho (sin darme cuenta en su momento)?,Rompehielos/Divertidas,3,Memoria y honestidad sobre errores.
250,¿Cuál es mi frase favorita para empezar el día?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
251,¿Qué tema de conversación me aburre mortalmente?,Rompehielos/Divertidas,2,Tolerancia a temas específicos.
252,¿Qué villano de cine entendería mi punto de vista?,Rompehielos/Divertidas,3,Análisis filosófico complejo.
253,¿Qué objeto simbólico usaría para describir nuestra relación actual?,Hipotéticas/Imaginativas,3,Abstracción emocional.
254,¿Qué tarea del hogar pospongo hasta el infinito y más allá?,Rompehielos/Divertidas,1,Hábitos y procrastinación.
255,¿Qué regalo me daría más vergüenza recibir en público?,Rompehielos/Divertidas,3,Situaciones embarazosas hipotéticas.
256,¿Qué canción cantaría en karaoke sin vergüenza?,Rompehielos/Divertidas,2,Preferencias musicales íntimas.
257,¿Qué serie abandonamos sin terminar?,Rompehielos/Divertidas,1,Gustos televisivos no concluidos.
258,¿Qué recuerdo vergonzoso de nuestra relación me hace reír ahora?,Nostálgicas,2,Superación y humor sobre el pasado.
259,"¿Duermo del lado derecho, izquierdo o boca arriba?",Rompehielos/Divertidas,1,Hábitos de sueño básicos.
260,¿Qué palabra inventada usamos solo nosotros?,Nostálgicas,1,Jerga de pareja consolidada.
261,¿Qué experiencia me marcó antes de conocernos que aún afecta nuestra relación?,Nostálgicas,3,Contexto emocional pasado.
262,¿Cuál fue el primer viaje o escapada que hicimos juntos?,Nostálgicas,1,Hito importante.
263,¿Dónde fue nuestra primera pelea tonta?,Nostálgicas,2,Recuerdo emocional selectivo.
264,¿Qué comida rara probaría solo por amor?,Hipotéticas/Imaginativas,2,Compromiso + humor.
265,¿Qué pequeño detalle de cuando empezamos a salir aún me derrite?,Nostálgicas,2,Sensibilidad a gestos pasados.
266,¿Qué tipo de música nunca me verían escuchando?,Rompehielos/Divertidas,2,Límites en gustos musicales.
267,¿Qué promesa rompí y nunca confesé?,Nostálgicas,3,Confesión de vulnerabilidad.
268,¿Qué comida me negué a probar durante años?,Rompehielos/Divertidas,1,Historia alimentaria personal.
269,¿Qué rutina diaria harías diferente si yo no estuviera presente?,Profundas/Románticas,2,Ajustes inconscientes.
270,¿Qué consejo sobre relaciones que nos dieron al principio ignoramos (y nos fue bien/mal)?,Nostálgicas,2,Memoria de influencias externas.
271,¿Qué regalo improvisado te sorprendió?,Nostálgicas,2,Memoria de detalles espontáneos.
272,¿Qué detalle pequeño me encanta de ti pero no menciono?,Profundas/Románticas,1,Detalles silenciosos.
273,"¿Cuál fue el momento más ""película romántica"" que hemos vivido?",Nostálgicas,1,Recuerdo idealizado pero compartido.
274,¿Qué canción canto mal pero con pasión?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
